cardTotal, count, Alpha(true), Alpha(false), 
13, 22, 46.068174367275674, 53.931825632724326, 
13, 23, 46.068174367275674, 53.931825632724326, 
14, -23, 53.931825632724326, 46.068174367275674, 
14, -21, 61.549646857296736, 38.450353142703264, 
14, -20, 53.931825632724326, 46.068174367275674, 
14, -19, 61.337116431508626, 38.662883568491374, 
14, -18, 53.645068365490914, 46.354931634509086, 
14, -17, 75.20216639490931, 24.797833605090688, 
14, -16, 68.47235007852558, 31.52764992147442, 
14, -15, 82.81917504725219, 17.180824952747813, 
14, -14, 98.21306785329104, 1.7869321467089634, 
14, -13, 89.9678657701757, 10.032134229824294, 
14, -12, 90.63300312623223, 9.366996873767775, 
14, -11, 81.63370467144037, 18.36629532855963, 
14, -10, 89.31856335090274, 10.681436649097268, 
14, -9, 94.82105084098434, 5.178949159015659, 
14, -8, 91.28149785503965, 8.718502144960354, 
14, -7, 74.0173392216993, 25.982660778300698, 
14, -6, 98.47553803406198, 1.5244619659380163, 
14, -5, 92.5242495850014, 7.475750414998594, 
14, -4, 84.30872245944776, 15.691277540552232, 
14, -3, 89.3100403898814, 10.689959610118606, 
14, -2, 87.89451679229632, 12.105483207703692, 
14, -1, 90.18907251264264, 9.810927487357361, 
14, 0, 73.17600949014751, 26.823990509852493, 
14, 1, 59.66233075902537, 40.33766924097463, 
14, 2, 60.697345768329626, 39.302654231670374, 
14, 3, 57.95937990120868, 42.04062009879132, 
14, 4, 37.07789657377204, 62.92210342622796, 
14, 5, 17.868791962025625, 82.13120803797437, 
14, 6, 14.799031677234566, 85.20096832276543, 
14, 7, 27.53556961755519, 72.46443038244482, 
14, 8, 67.0602168820206, 32.9397831179794, 
14, 9, 20.580150070372085, 79.41984992962792, 
14, 10, 22.374437336228084, 77.62556266377192, 
14, 11, 55.109378051638906, 44.890621948361094, 
14, 12, 12.081549822829075, 87.91845017717093, 
14, 13, 21.9625141515662, 78.0374858484338, 
14, 14, 36.747820950098884, 63.252179049901116, 
14, 15, 39.966584195877, 60.033415804123, 
14, 16, 31.903834412588672, 68.09616558741132, 
14, 17, 38.79204690125866, 61.20795309874134, 
14, 18, 38.5958955363665, 61.4041044636335, 
14, 19, 42.28784363228016, 57.71215636771984, 
14, 20, 49.7075242965184, 50.2924757034816, 
14, 22, 46.068174367275674, 53.931825632724326, 
15, -21, 53.931825632724326, 46.068174367275674, 
15, -20, 53.931825632724326, 46.068174367275674, 
15, -19, 42.789900233028234, 57.210099766971766, 
